SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDFMPIR
93703,2,2,6,9246.491865,8539.731348,2,145,5
93704,1,2,3,37338.76834,42566.61475,1,143,5
93705,2,66,4,8614.571172,8338.419786,2,145,0.82
93706,1,18,6,8548.632619,8723.439814,2,134,NA
93707,1,13,7,6769.344567,7064.60973,1,138,1.88
93708,2,66,6,13329.45059,14372.48876,2,138,1.63
93709,2,75,4,12043.38827,12277.55666,1,136,0.41
93710,2,0,3,16418.29842,16848.02012,1,134,4.9
93711,1,56,6,11178.26011,12390.91972,2,134,5
93712,1,18,1,29040.49656,30336.65432,2,147,0.76
93713,1,67,3,174806.5752,166841.6607,1,140,2.65
93714,2,54,4,15209.43864,15479.5812,1,147,1.86
93715,1,71,7,9402.255687,9250.904672,2,139,1.56
93716,1,61,6,11247.54342,11581.23354,1,143,5
93717,1,22,3,53249.36797,60117.93607,1,145,1.49
93718,1,45,4,20257.01146,19647.25054,1,144,1.18
93719,2,13,3,67836.64998,69916.126,1,134,3.92
93720,2,1,4,8985.688512,9983.09634,1,136,4.77
93721,2,60,1,8224.936565,8589.051335,2,136,3.04
93722,2,60,3,132077.5762,126309.8233,1,139,2.07
93723,1,64,3,230745.7168,229129.2369,1,140,3.69
93724,2,5,4,11426.38036,12195.68266,2,144,0.42
93725,2,9,3,125854.5201,139773.9754,1,139,5
93726,2,67,1,5239.61127,5435.070518,2,148,1.85
93727,1,70,6,19991.60922,22181.21286,2,138,5
93728,1,53,4,32014.31798,31532.90451,1,148,5
93729,1,42,4,11759.6246,12103.88335,1,137,0.83
93730,1,57,2,27340.92515,28532.93808,1,138,NA
93731,1,20,1,27213.90966,28081.13387,2,141,5
93732,1,72,3,11725.33874,12439.30105,2,141,1.13
93733,2,11,3,17265.99925,19070.07224,2,142,1.58
93734,1,13,3,20517.63387,0,1,142,3.33
93735,1,52,2,10609.72893,10706.38156,1,148,0.35
93736,1,11,1,19019.07867,19236.07849,1,135,NA
93737,1,8,4,14253.76103,15418.48746,2,144,0.14
93738,1,26,2,59333.08167,59094.0994,1,134,5
93739,2,5,1,26762.13926,28437.9916,2,136,1.79
93740,1,72,4,7568.712315,7721.816727,2,144,0.74
93741,2,9,6,9761.107742,10425.89603,2,138,5
93742,1,72,4,13375.69547,14084.02631,2,146,3.62
93743,1,61,3,102288.7345,110345.6781,2,141,3.87
93744,2,10,3,32424.0034,35375.37446,2,141,2.13
93745,1,5,6,9642.926752,9784.573587,1,138,0.56
93746,2,25,4,27134.67477,28801.6359,1,144,3.4
93747,2,13,2,37624.88114,39261.72382,1,134,1.06
93748,1,0,1,9961.521606,12859.36146,2,142,2.79
93749,2,1,3,12961.76533,14360.42992,2,141,0.29
93750,2,52,6,13827.3258,0,2,134,5
93751,2,7,1,39067.0251,49657.57262,2,144,0.04
93752,2,73,3,52415.99801,54611.19864,1,147,3.98
93753,2,10,3,26120.03237,27796.74137,2,142,2.21
93754,1,72,2,31838.40499,36811.17653,2,138,0.82
93755,2,26,4,30922.12632,33269.92737,1,139,2.07
93756,2,64,4,6437.797585,6735.524015,2,148,NA
93757,1,63,3,96421.25084,99269.9578,1,142,2.59
93758,2,55,3,22936.83184,23938.50887,2,139,0.75
93759,1,60,7,199178.5816,212848.2513,2,134,NA
93760,2,54,1,23824.55442,23665.85543,2,147,NA
93761,1,44,6,18939.45047,19910.0932,2,145,1
93762,2,74,1,23713.14786,26249.58636,1,137,1
93763,1,40,3,103670.3567,100887.8594,1,141,3.25
93764,2,1,3,12885.77253,12819.55862,1,142,1.67
93765,1,19,3,74509.25794,75727.27159,2,142,2.01
93766,2,36,2,16414.38756,18420.18991,2,142,0.52
93767,1,61,2,24569.84483,25687.53347,1,137,1.18
93768,1,80,3,14720.13393,20661.28195,2,139,3.04
93769,1,6,7,9054.065721,9479.40988,1,147,5
93770,1,55,2,16429.69588,16779.08407,1,138,0.8
93771,1,3,6,9642.926752,9784.573587,1,138,1.32
93772,2,55,4,20129.83736,20200.60933,1,141,0.7
93773,1,69,3,21085.17247,22749.07155,2,141,0.39
93774,2,41,3,232377.0527,230877.9955,1,136,3.67
93775,2,47,6,12816.63374,13332.11835,1,137,3.73
93776,2,32,4,22486.96769,21739.54544,1,144,1.18
93777,2,72,4,13094.20763,13874.87226,1,144,3.32
93778,2,19,4,21031.99623,22288.19814,1,141,5
93779,2,10,7,5688.852758,5958.516219,1,144,3.03
93780,2,46,7,39418.72937,43102.56241,1,141,1.22
